Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,2,1.0,1,1,1,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,2,2.0,2,1,2,Returning_Visitor,0,0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,4.0,1,9,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,2.0,,0.05,0.14,0.0,0.0,2,3.0,2,2,4,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,2,3.0,3,1,4,Returning_Visitor,1,0
0.0,0.0,0.0,0.0,19.0,,0.015789473999999998,0.024561404,0.0,0.0,2,2.0,2,1,3,Returning_Visitor,0,0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.4,2,2.0,4,3,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,2,2.0,2,2,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,0.4,2,2.0,4,1,2,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,2,1.0,1,3,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833332999999997,0.0,0.4,2,1.0,1,4,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,2,1.0,1,1,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,2,2.0,5,1,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,2,3.0,2,3,3,Returning_Visitor,0,0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,1.0,1,4,3,Returning_Visitor,0,0
0.0,0.0,0.0,0.0,13.0,,0.0,0.007692308,0.0,0.0,2,1.0,1,1,4,Returning_Visitor,1,0
