pca_1,pca_2,pca_3,pca_4
-240.5513842795952,-56.975197519758,-15.8168484712818,-26.56107442607621
-176.55757350242592,-57.66636738420123,-15.387075940562095,-25.494301003014144
-241.56133318305785,-58.20025604858139,-16.507327639229484,-26.46173593532216
-240.55176566906036,-56.91667743190299,-15.749602330744331,-25.57959130029551
386.8873057250215,-63.7937893403181,-11.651854193418405,-16.873476409547422
-240.5658799658028,-55.881661969581955,-14.549961268531591,-8.659736655452509
-241.5614545921393,-58.19942487685562,-16.504329750193207,-26.450932115403102
-203.55504164823574,-57.35001241017042,-15.540356643741488,-25.531866969557143
497.3834177614576,-65.51507520601818,-11.521678519461998,-23.70002939587777
154.41313707946517,-61.48970315709981,-13.454091597794028,-24.11313648257177
167.15144131740732,-60.84858731731281,-12.466557722274613,-11.165632861063814
39.9196067315034,-59.90273662020315,-13.815855344160433,-20.265437113872323
-142.56339101275282,-57.82257909083357,-14.914969691081696,-21.478895494348027
-172.55768145686577,-57.714227314145525,-15.366516570300634,-25.49720307450373
-241.5616416868716,-58.19875841163206,-16.504072696816873,-26.451371768318328
-240.56092629244014,-56.246457694150436,-14.973073605305753,-14.632219624645145
-208.55469305194043,-57.2912682047553,-15.567971946376169,-25.53584627696991
-240.56614133842197,-55.82131009865704,-14.482150125953579,-7.674880890151233
-240.5567451654432,-56.549946804538784,-15.325898763684128,-19.604648607570386
-241.5617578378534,-58.199872737453965,-16.50328025204068,-26.44694682248543
-135.56165703458808,-58.08845015629278,-15.088035882976884,-24.461599142110963
-225.55301564744755,-57.09192247794194,-15.664094030967295,-25.556863154979467
-241.56180721213096,-58.19841336353371,-16.502972495681778,-26.44483604571725
-84.56730221676158,-58.563327377753446,-14.662107832406466,-22.418449334310154
-177.56203321711988,-57.58303546483828,-15.27305139031002,-23.536236769653858
-205.55460491451257,-57.32589352303504,-15.553324127016303,-25.54120029662929
-162.55874073099628,-57.770928770297424,-15.242920742813494,-24.50618735214118
-31.075213396533,-59.008421218385976,-14.144163701363404,-19.348321034399227
-240.5586069134693,-56.42771521047946,-15.183558042429084,-17.610325063011647
139.90504496380902,-60.65014737003214,-12.758366118477547,-13.175652724047225
-240.59269730388112,-53.87344517250762,-12.225802686194994,24.1691004655472
147.4095955669594,-61.104862862834864,-13.141255115332015,-19.147288600311178
-177.56148322195915,-57.35096974678032,-15.041006714074648,-20.524344910825427
241.40120245896176,-62.14762137975533,-12.54332338418325,-18.048863683359105
-218.55465495000038,-57.11216073530469,-15.553764280588613,-24.552405426609287
-240.56230460453727,-56.12482886241721,-14.8337827260196,-12.648154075059171
-206.5548174817247,-57.315276339366854,-15.557447393876126,-25.535656062410283
381.628161135149,-63.00186852474278,-10.835897334612627,-4.940966013880049
-18.18121635803023,-58.794712011912786,-13.648937248188126,-13.36624243636785
-160.55970824036297,-57.794256775171526,-15.227409959482811,-24.484215109576372
-240.55934567921986,-56.368795929475404,-15.114024731589954,-16.61955667977283
-241.5617651752919,-58.19894623502197,-16.503245619095075,-26.446590278820995
-241.56163185186256,-58.19914035780469,-16.50415881954726,-26.45293309352632
-240.5601666538676,-56.30798848465907,-15.043545786135793,-15.624629956219694
-211.5541031468433,-57.25574284343597,-15.586054776529163,-25.542360655948485
-80.56741208593277,-58.672710962512674,-14.707174201515825,-23.396436958610746
-240.55338767004932,-56.79509513860953,-15.608304144110393,-23.588169052151915
-240.55089850072451,-56.97668395128017,-15.819038148863749,-26.569654504752197
-240.55097006620957,-56.97714386134914,-15.819921566585727,-26.57297351049205
-136.56175183980056,-58.01468757352744,-15.024987030290134,-23.4716530460293
-71.56974567408754,-58.65512996759882,-14.515257752751513,-21.39659408366439
160.2083623400189,-61.25364397874536,-13.067964772039199,-19.127717819623786
465.87744260357607,-64.47696880304574,-10.926790117012244,-12.806894499530712
-241.5615754909825,-58.19930585012275,-16.504468901241346,-26.45203196888765
-240.55098539549263,-56.97577557835101,-15.81936642054614,-26.569425969543328
661.357494967395,-66.52811323101048,-9.543460185631506,-8.591351874054597
-240.55097093144852,-56.977106160088724,-15.819915828803946,-26.572952923646003
-240.55080418673458,-56.97631729323727,-15.818715071407453,-26.566881431977247
-240.5660976683729,-55.820107908499715,-14.481480546972936,-7.668850861728999
-197.55547947512025,-57.420378568972474,-15.507093115213506,-25.52663878225385
-240.5565865869429,-56.550410464396684,-15.326004135165105,-19.605201264731512
-105.56406877673405,-58.43921057437789,-14.918934460406922,-24.423242390092955
-240.56342976753777,-56.06337556956468,-14.760384592883222,-11.63825076570042
-164.5583728661427,-57.808161108115634,-15.321476020293279,-25.487722458689472
-240.551181299312,-56.97608988607222,-15.818180827285893,-26.568159788734988
-240.55116714518485,-56.97608052089408,-15.818261417618348,-26.56820992227929
-32.57401715721855,-59.0542731403546,-14.226035285144546,-20.35932575118348
29.42298168837604,-59.962077912394584,-14.086439562351982,-23.262776996691716
-201.0586268474757,-57.13596298178884,-15.243807845694835,-21.54713639162724
-240.55124895761853,-56.975766691109285,-15.817695238806756,-26.56360990218143
-240.55116801042396,-56.976042819633655,-15.818255679836586,-26.56818933543325
-90.56915549464856,-58.37101361869129,-14.550221817746527,-20.41584480087043
-102.56476345360309,-58.47380643075997,-14.900205253543254,-24.41439592482543
-240.5658055117729,-55.8806706342101,-14.550445726911638,-8.661256298678813
-240.5512915969909,-56.9755729829829,-15.81746287855424,-26.564550866941374
-188.55649194526958,-57.525421909629095,-15.454955490991942,-25.51144368935247
408.6330332827527,-63.86621618543826,-11.318704921633575,-13.867845758732395
-240.57245408064412,-55.39606168594465,-13.987383975948985,-0.7041576532066073
-207.5548454500819,-57.30247467406304,-15.561947598294587,-25.534009250471183
1325.8090152196412,-75.05487199081995,-6.644860077669708,-19.733778943001173
-135.5626159177551,-58.02619781482339,-15.016257544205525,-23.46220127463795
-190.55977438800082,-57.19797634000948,-15.112806290897492,-20.547262676339145
403.58101194027466,-63.624790176334955,-11.135875004948748,-10.887482045462324
174.40883388887138,-61.541532452799004,-13.129325413768187,-21.101010115382095
-213.55393861341125,-57.231594048365956,-15.598200191185315,-25.549099867078727
-25.57651836947031,-59.0118401404241,-14.039746632545734,-18.34660984558836
-78.57423347865955,-58.20799583646636,-14.130719607680073,-15.431402943765045
-126.561729310197,-58.25416589014882,-15.106636635640015,-25.439204307953982
12.424685939642787,-59.76309756250151,-14.183616680284786,-23.287438164143282
-240.5535644210009,-56.79414320390826,-15.607210259669616,-23.584032704715792
-240.55108343235926,-56.97611173920767,-15.818795439941844,-26.570145624782505
-240.7674725375476,-29.625685054302387,75.29175465067493,-5.583916819802123
-240.5601051193145,-56.30728580857142,-15.043556014289305,-15.627164809267926
-240.5675555904521,-55.760589413491246,-14.409211862942447,-6.670142505432928
336.39065079155046,-63.13857683951617,-11.864378983559348,-15.931062126432655
-145.56508404120154,-57.66657533506648,-14.791596787323167,-19.49533427033382
60.91953980036693,-60.210576797744,-13.773094154974055,-21.252253219295785
-105.06540854054502,-58.38382080470152,-14.84350118551002,-23.41954669623391
-240.7169729137465,-35.548543713482765,56.92987912674695,-19.974826748350424
-199.55619417584563,-57.33549291954858,-15.447470039781418,-24.53337673332307
52.31546544795783,-59.80470947381088,-13.464532269934569,-16.269135935996115
-240.55100231525074,-56.976029853739966,-15.819312248920019,-26.572019566747613
-240.55766753074246,-56.48998250316805,-15.254791654916165,-18.60921680669228
-240.55797501961987,-56.428562027643565,-15.187611183769679,-17.62701930250558
-227.5538830250684,-57.0067138300004,-15.603458305970804,-24.557181927065194
-18.570871501806398,-59.52060891511822,-14.49805355239991,-25.308244482174317
-241.56169358327557,-58.19982235029747,-16.504145123268206,-26.450379716136503
-240.55495443068875,-56.672483605721396,-15.46782898274304,-21.599811541597226
-240.55509970571705,-56.67249699949738,-15.467318878935778,-21.59648223891661
-240.5572423417873,-56.48957167552583,-15.256579046591856,-18.614096645240764
-215.55448836682427,-57.149212551643494,-15.538696480156508,-24.557110196900172
-198.55886988221272,-57.458556314105024,-15.532210098811474,-25.55307550591523
-241.5613269482228,-58.199286401282166,-16.5060537548665,-26.457777315859214
31.919072290902147,-59.68718501994446,-13.722582474678502,-18.294623465836274
-240.55101896694828,-56.97658377517748,-15.819180168802779,-26.570764651659776
611.3288192040637,-61.1995679696681,7.810096908526093,-18.2190078045172
539.3798864035388,-66.00837618183442,-11.285881525531225,-23.653754280384675
797.3571153362137,-69.03505787726462,-9.831282252027579,-23.339524104697148
332.3969612348495,-63.518261447953385,-12.381684762453704,-22.907538785280643
-240.5730880126431,-55.333640790756704,-13.91680782466657,0.28969052014908103
-240.55944230139056,-56.367511051889046,-15.11295327591217,-16.614142070910937
-240.56688211246413,-55.81947825115754,-14.477867052365212,-7.657412444906875
-240.5508271195413,-56.97703764342933,-15.820417795403486,-26.57625780884152
-224.55453088335537,-56.98109963400049,-15.51838680318772,-23.566720957637138
374.3810058204546,-63.09872739924554,-11.08794779211224,-7.9334960872711875
21.16984452415678,-59.56089949582693,-13.780227668240169,-18.2929380775539
-240.56770671809025,-55.75961895206297,-14.408233542279687,-6.664838033942611
-240.55099351003972,-56.97665489407052,-15.819311856486634,-26.569701499394398
-123.06546438404608,-58.05077907563231,-14.804115222764759,-21.45384491911939
-240.55116801042396,-56.976042819633655,-15.818255679836586,-26.56818933543325
-240.55097136406812,-56.977087309458504,-15.819912959913076,-26.572942630222983
-240.5690889891285,-55.63741528269186,-14.268524877442164,-4.6815089011935305
226.40443713405548,-62.15217700372954,-12.83721601345139,-21.04283251664775
-240.569163147528,-55.638404353980725,-14.268039679432324,-4.6799791020402015
-111.57131634638478,-57.820298890473545,-14.31689453996425,-15.470830827058187
-177.55984175846902,-57.472566363174145,-15.181961927460003,-22.514190709395642
-115.56521470908527,-58.20015203978285,-14.832843112275825,-22.440643719595123
-240.55891016640214,-56.367487734881365,-15.115439372409279,-16.62257029711034
-240.56614467653256,-55.82175432970106,-14.483478464060571,-7.6800558932947105
-240.56403480047527,-56.003393664626415,-14.691309688342207,-10.65042454540061
-185.5575722066128,-57.49985844799693,-15.367589595773795,-24.51298092258121
-240.55128986651286,-56.97564838550374,-15.817474354117785,-26.564592040633446
425.386515197938,-64.42614517523336,-11.647037523543911,-19.81381657248059
-240.55097136406812,-56.977087309458504,-15.819912959913076,-26.572942630222983
-77.31910705539782,-58.5872327458873,-14.548521040178715,-21.405629811275087
43.661392005920106,-59.33901468990067,-13.092363483223181,-10.31838264130751
-241.56189322529653,-58.2004018853097,-16.50330166742601,-26.446843227997217
-241.56183742171424,-58.198554841612356,-16.501860234773552,-26.439966387885644
19.420578783210658,-59.6024255216438,-13.861331685106194,-19.295711128877173
-240.55481936687244,-56.69878381791212,-15.465830276919474,-22.47452018503108
-240.55212247249676,-56.913895482354896,-15.746998159219132,-25.56170818372508
-198.55656418882916,-57.345611029877674,-15.440052956610408,-24.51419955951904
-240.56816963547456,-55.6968037762488,-14.339720141035183,-5.6705641849524495
-240.6309506786845,-51.07436199470481,-8.980675613997578,69.95318453601074
-240.39737702149762,-55.90889187731671,-14.40697397128892,-12.934624327149622
-197.55767520625344,-57.23848740878285,-15.297543336160436,-22.54700126446832
-107.06386495327723,-58.42183168801111,-14.9284799322231,-24.42639369008727
490.37989222379287,-65.12785579428846,-11.208606591472444,-18.725617984113914
-240.5615526445684,-56.18377817195624,-14.902015476096098,-13.621246698394547
-190.55497564758338,-57.50502276916982,-15.475368930301602,-25.54505655163321
-240.57897414686317,-54.90673635894862,-13.421674947141778,7.2717801272018825
-42.577361695706564,-58.62924963420656,-13.927976939800752,-15.378059943633186
-225.55283268569946,-57.03348847818222,-15.600213338167329,-24.586178458824378
-217.55672712935515,-57.00100851569912,-15.405023032258846,-22.543064714966704
-226.5551618752881,-56.95673411943768,-15.526390036624651,-23.54897023796543
-221.55268478360404,-57.1407144230151,-15.64699624930305,-25.57195233781652
-138.06668163748105,-57.691467885357895,-14.67683167325188,-18.475975754907356
1642.7708100132995,-77.98332259272993,-3.943173915630824,-6.412259921958145
-108.56942491372202,-58.03858872393755,-14.51084532107445,-18.441008592582296
237.4008192016075,-62.09843748509083,-12.563029820855473,-18.03230617143723
739.6017749135231,-67.56609824635312,-9.242418459582586,-10.475111618222954
-243.09797095306098,280.2891842607464,1154.4223748723393,-103.01580691847336
512.3793081773688,-65.4466549805271,-11.155652629339494,-19.693263781865216
-240.57603893095524,-55.15138541425887,-13.70361372338875,3.2910246902039524
570.3681951788623,-65.70072586629506,-10.337138421291494,-12.666472151581752
4947.485390834438,-116.82778312668572,14.597671761085026,-3.4778596562909962
-241.56223980363185,-58.196613475142826,-16.500305568144228,-26.426976166325804
-183.55928554563044,-57.40010624026026,-15.214671983736713,-22.50580978563205
-232.55264745065216,-57.00738932888819,-15.702957913642102,-25.553266335222048
603.5893786040112,-64.20472300777175,-7.9619126730271175,18.226567367763078
-52.57194117071776,-58.81613643969939,-14.335638567928829,-20.376677653725825
-240.5509456677187,-56.975370029436064,-15.819682556082133,-26.562077398858232
-240.55801816278827,-56.487782083752954,-15.252604189795996,-18.59055350474001
156.39094905824294,-59.869587242544185,-11.540832997283767,2.7595602283194207
-240.56580137496925,-55.818766039485524,-14.482115024596148,-7.663302954557912
-166.56017110482946,-57.60329145613925,-15.12417095287966,-22.51449923360499
1318.9021422726955,-74.42488046435363,-6.04796499755728,-10.7702324567555
-240.55114706674917,-56.974538136582936,-15.817044702781267,-26.55139129397153
-165.06040794289726,-57.61986948903396,-15.115063446497896,-22.510331300949744
-87.56480651389354,-58.70912237056838,-14.887652613002405,-25.38430763031973
3417.6182300337623,-98.87400233309532,5.978162119292412,-5.308810282815331
921.8447447194833,-70.37351253671795,-8.989712927830933,-21.195770934362105
315.97504003884035,-61.62045107496552,-10.498342374183832,4.9501253541736725
-199.5564421840596,-57.33468490825626,-15.445944707426856,-24.518580648924548
-239.73561469110038,-55.913440721184685,-13.698949780126377,-27.92451790100352
-171.3110891787845,-57.48374397015761,-15.077095525935755,-21.506036701263167
161.40805883596838,-61.26609499696252,-13.059947280573564,-19.11018413748088
-240.55145138853538,-56.974425872794534,-15.816469609213565,-26.55019928098164
-240.5793680245213,-54.90624536732729,-13.42005966697797,7.278047322164994
-181.55811669477157,-57.48754705500399,-15.278722602058616,-23.526594537618823
-240.5834263178233,-54.60260855536686,-13.068380486824148,12.25059425619316
-240.5515330364101,-56.97383124759134,-15.815984207783973,-26.549458066598945
-240.5611213777248,-56.2458210251811,-14.97228498182544,-14.6181328191206
-240.5774212856201,-55.02801345870572,-13.561599449715908,5.286966694148424
-240.55093765131818,-56.97383305367588,-15.819771396581107,-26.56294489001259
-13.07258405307124,-59.52331954233889,-14.395849829499946,-24.297260672122412
-240.56266114396243,-56.123601630804075,-14.831554916103695,-12.629816046663995
-240.55214209530362,-56.9140946723032,-15.74724823074116,-25.559346569157764
-240.5789539438505,-54.90621429127326,-13.422701529174345,7.2684656956522105
-158.06087860515038,-57.7614198046079,-15.142069288233404,-23.47471811356296
