Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,"('New_Visitor',)","('Other',)","('Returning_Visitor',)"
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,2,1.0,1,1,1,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,2,2.0,2,1,2,0,0.0,0.0,1.0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,4.0,1,9,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,0.0,0.05,0.14,0.0,0.0,2,3.0,2,2,4,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,2,3.0,3,1,4,1,0.0,0.0,1.0
0.0,0.0,0.0,0.0,19.0,0.0,0.015789473999999998,0.024561404,0.0,0.0,2,2.0,2,1,3,0,0.0,0.0,1.0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.4,2,2.0,4,3,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,2,2.0,2,2,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,0.4,2,2.0,4,1,2,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,2,1.0,1,3,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,0.4,2,1.0,1,4,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,2,1.0,1,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,2,2.0,5,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,2,3.0,2,3,3,0,0.0,0.0,1.0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,1.0,1,4,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.007692308,0.0,0.0,2,1.0,1,1,4,1,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.1,0.0,0.0,2,2.0,2,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.01,0.0,0.0,2,2.0,4,4,4,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.008333333,0.0,1.0,2,2.0,2,5,1,1,0.0,0.0,1.0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,3.0,3,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,105.0,0.0,0.033333333,0.0,0.0,2,3.0,2,1,5,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.1,0.0,0.8,2,2.0,4,1,3,0,0.0,0.0,1.0
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,2,2.0,2,4,1,1,0.0,0.0,1.0
0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,2,1.0,1,9,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,76.0,0.05,0.1,0.0,0.0,2,1.0,1,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,63.0,0.0,0.05,0.0,0.2,2,99.0,6,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.1,0.0,0.0,2,1.0,1,6,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,2,1.0,2,6,6,1,0.0,0.0,1.0
0.0,0.0,0.0,0.0,8.0,209.5,0.0,0.025,0.0,0.0,2,2.0,2,1,1,0,0.0,0.0,1.0
